Name,Gender,Reason,Dates
GHORBAN-HOSSEINI Fatemeh,female,"Fatemeh Ghorban-Hosseini is a member of the Morality Police (EU-listed), an Islamic religious police that is part of Iran’s Law Enforcement Forces (LEF). She is one of the officers in the squad that arrested Mahsa Amini.; On 13 September 2022, Ghorban-Hosseini and three other members of a squad arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to this incident and has been widely documented.; As one of the officers who arrested Amini, Fatemeh Ghorban-Hosseini is responsible for Amini’s death and is therefore responsible for serious human rights violations in Iran.",14-11-2022
SAFARI Parastou,female,"Parastou Safari is a member of the Morality Police (EU-listed), an Islamic religious police that is part of Iran’s Law Enforcement Forces (LEF). She is one of the officers in the squad that arrested Mahsa Amini.; On 13 September 2022, Safari and three other members of a squad arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to this incident and has been widely documented.; As one of the officers who arrested Amini, Parastou Safari is responsible for Amini’s death and is therefore responsible for serious human rights violations in Iran.",14-11-2022
JEBELLI Peyman,male,"Peyman Jebelli is the Director of Islamic Republic of Iran Broadcasting (IRIB), which is notorious for being a regime mouthpiece.; IRIB severely restricts and denies the free flow of information to the Iranian people. Furthermore, IRIB is actively involved in organising and broadcasting forced ‘confessions’ of regime critics, obtained through intimidation and severe violence. These ‘confessions’ are often aired following public protests, or prior to an execution as a means of reducing public backlash. As Director of IRIB, Jebelli is responsible for IRIB’s actions and news content.; Whereas several high-profile state broadcasting personnel have resigned recently and disavowed the Iranian regime’s violent response to the 2022 protests, Jebelli continues to act in his position. His appointment as director of Iran’s main official news source was authorised by Supreme Leader Ali Khamenei and indicates ideological proximity to the regime.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
REZVANI Ali (a.k.a REZWANI Ali),male,"Ali Rezvani is a reporter for Islamic Republic of Iran Broadcasting (IRIB) and news anchor/presenter on IRIB’s nightly 20.30 news programme.; IRIB is a state-controlled Iranian media organisation and tasked with spreading government information. IRIB’s nightly 20.30 news broadcast, which airs on Channel 2, is the country’s leading news programme and considered to be IRIB’s primary platform for implementing the agendas of security forces, including the Ministry of Intelligence (MOIS) and the Islamic Revolutionary Guard Corps (IRGC). Documented cases show that the 20.30 news airs forced confessions.; In his capacity as IRIB reporter, Ali Rezvani participates in interrogations leading to forced confessions, thereby directly engaging in and facilitating serious human rights violations. In his capacity as news anchor of the 20.30 news, Rezvani promotes the Iranian security forces’ agenda, which condones serious human rights violations such as torture and arbitrary arrests and detention. Rezvani also peddles propaganda against critics in order to intimidate them and to justify and encourage their ill-treatment, thereby violating their right to free expression.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
ZABIHPOUR Ameneh Sadat,female,"Ameneh Sadat Zabihpour is the head of the foreign Persian-language media group at IRIB, which is notorious for being a regime mouthpiece.; IRIB severely restricts and denies the free flow of information to the Iranian people. Furthermore, IRIB is actively involved in organising and broadcasting forced ‘confessions’ of regime critics, obtained through intimidation and severe violence. These ‘confessions’ are often aired following public protests, or prior to an execution as a means of reducing public backlash.; Whereas several high-profile state broadcasting personnel have resigned recently and disavowed the Iranian regime’s violent response to the 2022 protests, Zabihpour continues to act in her position. She has interrogated critics of the regime and produced forced confession videos.; She is therefore responsible for serious human rights violations in Iran.",12-12-2022
KHATAMI Seyyed Ahmad,male,"Seyyed Ahmad Khatami is a hard-line cleric and an influential Friday-prayer imam in Tehran. Khatami is also a member of the Assembly of Experts for the Leadership, an Iranian entity that is itself implicated in human rights violations for its neglect in upholding constitutional provisions.; As a cleric close to the state authorities and with a large audience, he leverages his position to verbally attack and incite violence against protesters. He not only defends the repressive actions of the security forces of Iran but has also on several occasions urged for even harsher treatment of protesters, including the death sentence.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
MIRAHMADI Seyyed Majid,male,"Brigadier General Seyyed Majid Mirahmadi is Iran’s Deputy Minister of Interior, responsible for overseeing Iran’s security and police forces, actors that are involved in serious human rights violations in Iran.; Iran’s security and police forces are violently clamping down on protests, shooting directly at peaceful protesters and arbitrarily arresting people with total disregard for their human rights.; In his statements, Mirahmadi refers to the protests as riots that have to end, and criminalises and threatens those participating in peaceful protests. He is also personally whitewashing the serious human rights violations committed by forces under his authority, – for example, by claiming that 16-year-old protester Nika Shakrami committed suicide. Reports indicate that it is very likely that she died at the hands of security forces.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
MOUSAVI Sayyed Abdolrahim,male,"Major General Sayyed Abdolrahim Mousavi is the Commander-in-Chief of Iran’s Army. In this capacity, he bears responsibility for the Iranian Army’s involvement in the regime’s violent response to the 2022 protests.; On several occasions, Mousavi described the protests in Iran as riots organised and planned by the enemies of Iran, thereby framing the protests as a national security threat. He used threatening language directed at participants in the protest movement. He also praised the Iranian security forces’ violent response to protesters, describing it as an effective way to neutralise Iran’s enemies.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
BORMAHANI Mohsen (a.ka. BARMAHANI Mohsen),male,"Mohsen Bormahani is the Deputy Director of Islamic Republic of Iran Broadcasting (IRIB), which acts as a regime mouthpiece.; In his position, Bormahani holds responsibility for IRIB content. IRIB severely restricts and denies the free flow of information to the Iranian people. Furthermore, IRIB is actively involved in organising and broadcasting forced ‘confessions’ of regime critics, obtained through intimidation and severe violence. These ‘confessions’ are often aired following public protests, or prior to an execution as a means of reducing public backlash.; Whereas several high-profile state broadcasting personnel have resigned recently and disavowed the Iranian regime’s violent response to the 2022 protests in Iran, Bormahani continues to act in his position as Deputy Director and in recent statements has defended the regime.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
JOKAR Morteza,male,"Colonel Morteza Jokar is the deputy head of Iran’s Law Enforcement Forces (LEF) in Sistan and Baluchestan province.; In this function, he is responsible for directing the violent crackdown on civilian protesters in Sistan and Baluchestan province following the death of Mahsa Amini in September 2022. Forces under his command are responsible for firing live ammunition at protesters during the 30 September 2022 massacre in Zahedan and the 4 November 2022 massacre in Khash, in which dozens of people were killed and wounded. Other violent crackdowns on protests in other provincial cities (Saravan, Chabahar, Iranshahr, Rask, Sarbaz and others) also took place under his control during the autumn of 2022.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
SOURI Majid,male,"Majid Souri is a Second Brigadier-General of the Islamic Revolutionary Guard Corps (IRGC). He was the Deputy Commander of the IRGC in Lorestan province. Since December 2022, he is Head of the Rahian-e Noor and Tourism Organization, affiliated with the IRGC and Basij.; He is responsible for the security forces’ violent repression of protests in 2022, especially in the city of Khorramabad, where people gathered to mourn the death of Nika Shakrami, an Iranian teenager who disappeared soon after Mahsa Amini’s death.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
KARIMI Mohsen,male,"Brigadier-General Mohsen Karimi is Commander of the Islamic Revolutionary Guard Corps (IRGC) in Markazi province, also known as the Ruhollah Corps. The Ruhollah Corps is a military unit of the IRGC with its headquarters located in Arak and is responsible for commanding and controlling all units of the IRGC and Basij located in Markazi province.; He is responsible for the security forces’ violent repression of protests in 2022, which led to the death of 19-year-old Mehrshad Shahidi in an IRGC detention centre in Arak.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
HEYDARNIA Alireza,male,"Brigadier-General Alireza Heydarnia is Commander of the Islamic Revolutionary Guard Corps (IRGC) in Alborz province, also known as the Imam Hassan Mojtaba Corps.; The IRGC is responsible for the violent repression of protesters, in particular in the city of Karaj, Alborz, in 2022. In that city, security forces cracked down on protesters on the occasion of rallies to honour the victims of the protests on the 40th day after their death. On 17 October 2022, security forces in Karaj abducted from hospital and repeatedly raped Armita Abbasi, a 20-year-old girl.; Alireza Heydarnia is therefore responsible for serious human rights violations in Iran.",12-12-2022
GARSHASBI Amanollah,male,"Brigadier General Amanollah Garshasbi is the deputy commander of the Islamic Revolutionary Guards Corps (IRGC) in Sistan and Baluchestan province. The Salaman provincial corps is under his command.; Sistan and Baluchestan province have seen some of the most violent crackdowns by Iranian security forces, including the IRGC, during the 2022 protests. On 30 September 2022, the province capital Zahedan witnessed ‘bloody Friday’, when security forces opened fire on a protest forming in Zahedan around Friday prayer. It is estimated that at least 70 protestors were shot and killed. Since then, violence against participants in protests has continued.; Garshasbi is therefore responsible for serious human rights violations in Iran.",12-12-2022
REYHANI Bahman,male,"Brigadier General Bahman Reyhani is the deputy commander of the Islamic Revolutionary Guard Corps (IRGC) in the West of Iran, responsible for Kermanshah province. The Hazrat Nabi Akram provincial corps is under his command.; Kermanshah province has seen violent crackdowns by Iranian security forces, including the IRGC, during the 2022 protests. Reyhani is among those responsible for the IRGC violence against protestors in Kermanshah province.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
SHAHSAVARI Habib,male,"Brigadier General Habib Shahsavari is the commander of the Islamic Revolutionary Guard Corps (IRGC) Shohada ground troops corps for the province of West Azerbaijan.; IRGC troops under his command conducted operations against protesters in the Kurdish regions of Iran. In particular, from 15 November 2022, such operations were conducted against protesters in the West Azerbaijan towns of Piranshahr, Mahabad and Bukan. IRGC troops have used disproportionate force in these operations. According to NGO estimates, IRGC operations in the towns of Mahabad and Bukan killed four and 12 people respectively.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
ABDOLLAHPOUR Mohammad,male,"Brigadier General Mohammad Abdollahpour is the commander of the Islamic Revolutionary Guard Corps (IRGC) Quds provincial corps in Gilan province.; Gilan province has seen violent crackdowns by Iranian security forces, including by IRGC forces under Abdollahpour’s command, during the 2022 protests.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
MOSLEMI Siavash,male,"Brigadier General Siavash Moslemi has been the commander of the Islamic Revolutionary Guard Corps (IRGC) Karbala provincial corps in Mazandaran province since June 2020.; In 2022, IRGC troops under his command conducted operations against protesters and in those operations used disproportionate force. As commander of the troops engaged, Moslemi is among those responsible for violence against protesters.; He is therefore responsible for serious human rights violations in Iran.",12-12-2022
ZULQADR Ahmad,male,"Brigadier General Ahmad Zulqadr has been the commander of the Islamic Revolutionary Guards Corps (IRGC) Seyyed al-Shohada provincial corps in Tehran province since November 2020. He is also the deputy commander of the IRGC corps in Tehran city.; According to media reports, Zulqadr was chosen for the post especially because of his expertise in suppressing protests. In 2022, repression against protesters in Tehran was particularly violent.; As commander of IRGC troops engaged in said violence against protesters, he is therefore responsible for serious human rights violations in Iran.",12-12-2022
KASHKOULI Morteza,male,"Brigadier General Morteza Kashkouli is the commander of the Islamic Revolutionary Guard Corps (IRGC) Hazrat Abulfazl provincial corps in Lorestan province.; In 2022, IRGC troops under his command conducted operations against protesters in the Kurdish regions of Iran. In particular, operations were conducted in the town of Khorramabad in Lorestan. IRGC troops used disproportionate force in these operations, using live ammunition against protesters.; As commander of those IRGC forces, Kashkouli is among those responsible for said violence. He is therefore responsible for serious human rights violations in Iran.",12-12-2022
BAYAT Isa,male,"Colonel Isa Bayat has been the commander of the 364th Islamic Revolutionary Guard Corps (IRGC) brigade (Shahid Nasirzadeh) in Mahabad, West Azerbaijan province, since June 2022.; In 2022, IRGC troops under his command conducted military operations against protesters in the Kurdish regions of Iran. In particular, from 15 November 2022, such operations were conducted against protesters in Mahabad, using disproportionate force and leading to the killing of four people.; As commander of an IRGC unit conducting said operations, Bayat is responsible for violence against protesters. He is therefore responsible for serious human rights violations in Iran.",12-12-2022
ASANLOO Mohammad Taghi,male,"Brigadier General Mohammad Taghi Asanloo is the commander of the Islamic Revolutionary Guards Corps (IRGC) Hamzeh Seyed Al-Shohada regional headquarters in Northwest Iran, responsible for the provinces of Kordestan and West Azerbaijan.; Hamzeh Seyed Al-Shohada headquarters has the specific mission of suppressing unrest in the Kurdish regions in Northwest Iran. In 2022, under Asanloo’s command, IRGC troops in this area conducted military operations against protesters in the Kurdish region of Iran. In particular, from 15 November 2022, IRGC troops under Asanloo’s command conducted such operations against protesters in the towns of Piranshahr, Mahabad and Bukan.; IRGC troops have used disproportionate force in these operations. According to NGO estimates, IRGC operations against protesters in the Kurdish regions have led to the killing of 42 people since 15 November 2022.; As commander of IRGC troops in the region, Asanloo is responsible for violence against protesters conducted by his troops. He is therefore responsible for serious human rights violations in Iran.",12-12-2022
SAJJADI Seyed Hamid Hazaveh,male,"Hamid Sajjadi has been a member of the Supreme Council of Sports since 22 August 2023. He was Iran’s Minister of Sports and Youth between 15 August 2021 and August 2023.; He is responsible for pressuring Iran’s athletes into silence and for preventing them from speaking out internationally against repression in Iran. He was personally involved in the case of Elnaz Rekabi, an Iranian climber who competed without a hijab at the Asian Championship rock-climbing competition in Seoul in the autumn of 2022. After her competition, Rekabi was tricked into entering the Iranian embassy building in Seoul, where her passport and mobile phone were confiscated on the orders of the authorities in Tehran. Upon her likely forced arrival in Tehran, she was interrogated by two of Iran’s political and sports institutions and met with Sajjadi. In that meeting she was coerced into making a statement apologising for competing without a hijab and was threatened with the confiscation of family land. In December 2022, it became clear that Elnaz Rekabi’s family home in Zanjan had been demolished.; Hamid Sajjadi is therefore responsible for serious human rights violations in Iran.",23-01-2023
GOLPAYEGANI Seyyed Mohammed Saleh Hashemi,male,"Seyyed Mohammed Saleh Hashemi Golpayegani has been the head of the Headquarters for Enjoining Right and Forbidding Evil (also known as the Office or Headquarters for the Promotion of Virtue and Prevention of Vice) since 25 August 2021. The Headquarters for Enjoining Right and Forbidding Evil is a government institution which is responsible for determining and enforcing excessively strict behavioural models in society.; In 2022, the Headquarters for Enjoining Right and Forbidding Evil was instrumental in setting new and stricter morality codes for women that are in clear violation of their human rights. Additionally, the Headquarters for Enjoining Right and Forbidding Evil plays a central role in setting up the monitoring and often brutal sanctioning of women and men who do not respect these codes. These strict codes are subsequently brutally enforced by the EU-listed Law Enforcement Forces of the Islamic Republic of Iran (LEF) (and specifically its Morality Police).; As the head of the Headquarters for Enjoining Right and Forbidding Evil, Seyyed Mohammed Saleh Hashemi Golpayegani is therefore responsible for serious human rights violations in Iran.",23-01-2023
ASGARI Hassan,male,"Hassan Asgari is the governor of the city of Sanandaj in Iran’s Kurdistan province and a former Commander of the local Islamic Revolutionary Guard Corps (IRGC) forces.; As governor of Sanandaj, he is responsible for the violent and brutal response in that city to the protests following the death of the young Kurdish woman Mahsa Amini in September 2022. When a 16-year-old protester was reportedly killed by security forces in Sanandaj, Asgari and other officials stated that she died of a drug overdose, potentially by suicide. Providing false alternative causes of death for protesters killed by security forces is a common tactic used by Iranian officials to evade accountability for their human rights abuses.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
KHIABANI Hossein Modarres,male,"Hossein Modarres Khiabani was the governor of Iran’s Sistan and Baluchestan province from September 2021 to December 2022 and was responsible for overseeing Iran’s Law Enforcement Forces (LEF) in the province.; During his time as governor, the LEF and other security forces cracked down on various protests and used excessive violence against protesters. There is wide evidence of the use of disproportionate force that led to the killing of at least 66 people in the city of Zahedan in Sistan and Baluchestan province on 30 September 2022.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
KOUSHA Esmaeil Zarei,male,"Esmaeil Zarei Kousha is the governor of Iran’s Kurdistan province and responsible for overseeing Iran’s Law Enforcement Forces (LEF) in the province.; As such, he is responsible for the brutal response and excessive use of violence by the LEF and security forces to the protests held in Kurdistan following the death of 22-year-old Mahsa Amini in September 2022.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
KOWSARI Mohammad Esmail,male,"Mohammad Esmail Kowsari has been a member of the Iranian Parliament (‘MP’) since 2020. He is a hard-line lawmaker and Islamic Revolutionary Guard Corps (IRGC) member. Before becoming an MP, Kowsari was the commander of the IRGC’s Sarallah headquarters in Tehran from 2017 to 2020.; During the 2022/2023 protests, he has repeatedly threatened security forces with consequences if they do not fulfil their duty and crack down on protests. He has also called for more military action against peaceful protests. As an MP, he has urged the Iranian judiciary to sentence protestors to death.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
MIRSALIM Mostafa,male,"Mostafa Mirsalim is a member of the Iranian Parliament.; During the 2022/2023 protests, he has been particularly vocal in his support for the death penalty for arrested protesters, using the parliament as a platform to vehemently promote and call for their executions. He has called for protestors to be executed in a matter of days after their arrest. He also frequently attacks the free press and is in favour of restricting social media.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
NAGHDALI Mohammad Taghi,male,"Mohammad Taghi Naghdali is a member of the Iranian Parliament and member of the Parliament’s legal commission.; During the 2022/2023 protests, he has been particularly vocal in his support for the death penalty for arrested protesters, using the parliament as a platform to vehemently promote and call for their executions. He also frequently attacks the free press and is involved in drafting laws to restrict the free flow of information.; He is therefore responsible for serious human right violations in Iran.",23-01-2023
GHAZANFARABADI Mousa,male,"Mousa Ghazanfarabadi is a member of the Iranian Parliament and the head of the Parliament’s legal and judicial commission. As such, he is responsible for the judicial and legal review of the proposed ministerial plans in Parliament, the review and approval of plans related to criminal law as well as investigating the performance of the country's officials and managers from a judicial and legal point of view.; He has not condemned the serious human rights violations of Iranian officials during the 2022/2023 protests. On the contrary, he has personally stated that women who violate hijab rules should be deprived of social rights and has argued for the use of force when dealing with them. He is also whitewashing the crimes committed by Iranian forces by defending the government’s version of events surrounding the death of Mahsa Amini.; He is therefore responsible for serious human right violations in Iran.",23-01-2023
NOROOZI Ahmad,male,"Ahmad Noroozi is the head of Islamic Republic of Iran Broadcasting (IRIB) World Service and the CEO of Press TV, the main pro-government English language channel that oversees IRIB’s foreign-language outlets.; IRIB is the Iranian state-run media corporation and has broadcast hundreds of forced confessions by Iranian, dual-national and international detainees in Iran. IRIB and its subsidiaries act as a critical tool in the Iranian government’s mass suppression and censorship campaign against its own people. IRIB has produced and recently broadcast interviews of individuals being forced to confess that their relatives were not killed by Iranian authorities during nationwide protests but died due to accidental, unrelated causes.; Press TV is responsible for producing and broadcasting the forced confessions of detainees, including journalists, political activists and persons belonging to the Kurdish and Arab minorities, violating internationally recognised rights to a fair trial and due process.; In his capacity as head of IRIB and as CEO of Press TV, Ahmad Noroozi is therefore responsible for serious human rights violations in Iran.",23-01-2023
POURANVARI Youssef,male,"Youssef Pouranvari is the director of the Programs and Scheduling Department at the Islamic Republic of Iran Broadcasting (IRIB) foreign-language flagship channel.; As the Government of Iran’s state-run media conglomerate, IRIB has a monopoly on television and radio services in Iran and plays a central role in restricting the exercise of the right to freedom of expression and impeding the free flow of information in Iran through censorship activities. IRIB produces, sponsors, and spreads government propaganda both in Iran and internationally. Furthermore, IRIB regularly broadcasts false and baseless accusations against Iranian citizens, dual nationals, and foreigners, and uses falsified news to misinform and falsely incriminate perceived enemies of the regime. IRIB also cooperates extensively with security and intelligence agencies, including Iran’s Ministry of Intelligence and Security (MOIS) and the Islamic Revolutionary Guard Corps (IRGC), to obtain and publicly disseminate forced confessions from Iranians, dual-nationals and foreign detainees. Testimonies and other evidence point to the use of torture, both physical and psychological; threats against family members; and degrading treatment to extract forced confessions. Since 2009, IRIB programmes have broadcast hundreds of forced confessions as well as defamatory content against hundreds more. IRIB uses forced confessions in particular to frame dual nationals and foreigners as spies, demonise human rights activists, and legitimise repression against religious minority groups such as the Baha’i community.; In his capacity as director of the Programs and Scheduling Department at the IRIB foreign-language flagship channel, Youssef Pouranvari contributes to the repression of peaceful demonstrators, journalists, human rights defenders, students or other persons who speak up in defence of their legitimate rights.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
KADEM Ahmad,male,"Brigadier General Ahmad Kadem is the head of the Islamic Revolutionary Guards Corps (IRGC) Operational Base (regional headquarters) Karbala, which commands IRGC troops in the provinces of Khusestan, Lorestan and Kohgiluyeh and Boyer-Ahmad.; During the 2022 protests, IRGC troops under his command conducted operations against protesters, in particular in the Khusestan and Lorestan regions, including in the towns of Khorramabad (Lorestan) and Izeh (Khusestan). IRGC troops used disproportionate force in these operations, using live ammunition against protesters. As overall commander of the IRGC troops in these regions, Kadem is responsible for violence against protesters conducted by those troops.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
AZIMI Mohammad Nazar,male,"Brigadier General Mohammad Nazar Azimi is the commander of the Islamic Revolutionary Guard Corps (IRGC) headquarters Najaf Al-Ashraf, which commands IRGC troops in the provinces of Kermanshah, Hamedan and Ilam.; During the 2022 protests, Kermanshah province has seen violent crackdowns by Iranian security forces, including the IRGC. As commander of the regional IRGC headquarters for the IRGC troops engaged in this region, he is responsible for the IRGC violence against protestors in Kermanshah province.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
NILFRUSHAN Abbas Mortaza,male,"Abbas Nilfrushan is the deputy commander for operations of the Islamic Revolutionary Guard Corps (IRGC) and responsible for the IRGC Operations Command, one of the security organisations directly in charge of protest suppression.; In this capacity, he has framed the 2022 civil grassroots protest movement as a terrorist movement and a direct security threat to Iran, thereby legitimising the harsh response to the peaceful protests.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
MOEIN Moslem,male,"Moslem Moein is a senior official in the EU-listed Basij Resistance Force (Basij), the infamous volunteer paramilitary organisation operating under the Islamic Revolutionary Guard Corps (IRGC) with branches throughout Iran.; The Basij has played a key role in the regime’s deadly crackdown on the protests that have swept the country since September 2022. As chief of the Basij Cyberspace Headquarters, Moein oversees efforts to control and censor Iranians’ online activities. He has spoken publicly about the Basij’s priority of monitoring Iranians’ use of the internet. Additionally, Moein has advocated for the development of Iran’s national intranet, which could allow the regime to disconnect Iran from the global internet. The Iranian government continues to filter and block the free flow of information in Iran.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
KARAMI Mohammad,male,"Brigadier General Mohammad Karami is the commander of the Islamic Revolutionary Guards Corps (IRGC) headquarters Quds, which commands IRGC troops in Sistan and Baluchestan province and Kerman province.; Sistan and Baluchestan province has seen some of the most violent crackdowns by Iranian security forces, including the IRGC, during the 2022 protests. On 30 September 2022, the provincial capital Zahedan witnessed ‘bloody Friday’, when security forces opened fire on a protest forming in Zahedan around Friday prayer, using live ammunition. At least 70 protestors were shot and killed. Since then, violence against participants in later protests has continued. As commander of the regional IRGC headquarters for the IRGC troops engaged in this region, Karami is responsible for the IRGC’s violence against protestors in Sistan and Baluchestan province, in particular around ‘bloody Friday’.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
JAVIDAN Ali Akbar,male,"Ali Akbar Javidan has been the commander of the Law Enforcement Forces of the Islamic Republic of Iran (LEF) in Kermanshah province since June 2019.; In this capacity, he is responsible for ordering the violent reaction of the LEF to the 2022 protests in Kermanshah. He is also responsible for ensuring the LEF’s strict implementation of morality policies that severely violate human rights, including through the active repression of women who do not comply with headscarf codes. He is also responsible for the LEF’s arrests of women during the July 2022 protests. He is responsible for violence, discrimination, cruel and degrading behaviour, and arbitrary detention of women.; He is therefore responsible for serious human rights violations in Iran.",23-01-2023
AZARPENDAR Abbas,male,"Abbas Azarpendar is the CEO of Radis Vira Tejarat Co, which is a key intermediary in Iran, providing some of the most advanced surveillance equipment to the Iranian government.; During the protests following the death of Mahsa Amini in police custody in mid-September 2022, Radis Vira Tejarat Co’s equipment has been used by the Iranian security forces, including the Islamic Revolutionary Guard Corps (IRGC), its Basij and the Law Enforcement Forces of the Islamic Republic of Iran (LEF), to brutally suppress the nationwide protests, leading to the torture or death of at least 516 protestors, including at least 70 children.; Azarpendar is therefore responsible for serious human rights violations in Iran.",23-01-2023
ESMAEILI Mohammad Mehdi,male,"Mohammad Mehdi Esmaeili is the Iranian Minister of Culture and Islamic Guidance.; Under his authority, the Ministry has threatened artists/musicians who do not follow the government line with travel and work bans. He has personally and publicly threatened filmmakers who had published a statement asking the security forces to show restraint against peaceful protesters with arrest and work bans. An important number of artists and journalists have been arrested under trumped up charges since he became Minister, indicating that the repressive threats were followed by repressive acts. Esmaeili also works on curtailing freedom of expression even further by currently pushing a bill through Parliament that will criminalise the sharing of any information deemed critical of the regime or any reporting deemed critical of the regime. Under Mohammad Mehdi Esmaeili’s authority and with his stated approval, numerous Iranian artists, musicians, filmmakers and journalists were threatened, arrested and prosecuted on trumped charges and their freedom of expression was further significantly curtailed.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
NOURI Yousef,male,"Yousef Nouri has been Iran's Minister of Education since November 2021.; Under his responsibility, Iranian students’ education is continuously aligned to the government’s opinions and Ayatollah Chamenei’s teachings. In September and October 2022, security forces were seen taking Iranian school pupils into custody for allegedly being involved in anti-Hijab-protests. As Education Minister, Nouri is responsible for the detention of students in correctional facilities. Nouri confirmed that some school students had already been arrested. He said they were sent to ‘psychological institutions’ which hold students to ‘reform and re-educate’ them to prevent ‘anti-social’ behaviour. He added that students could only return to school after being ‘reformed.’; By being responsible for students’ arbitrary detention in order to reverse anti-government opinions, Nouri violates the basic human right to education by which education shall be directed to the full development of the human personality and to the strengthening of respect for human rights and fundamental freedoms.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
KARIMI Farzinفرزین کریمی مزلقان چای(a.k.a. KARIMI MAZALGHANCHAY Farzin),male,"Farzin Karimi is a member of the Iranian Ministry of Intelligence and Security (MOIS) and co-founder of EU-listed Ravin Academy, an entity that trains individuals in cyber security and hacking, and recruits from among these trainees for the MOIS.; The MOIS is widely involved in infiltrating internal opposition groups, monitoring domestic threats and expatriate dissents and arresting alleged spies and dissidents.; Farzin Karimi is therefore responsible for serious human rights violations in Iran.",20-02-2023
MOSTAFAVI Seyed Mojtaba,male,"Seyed Mojtaba Mostafavi is a member of Iran’s Ministry of Intelligence and Security (MOIS) and co-founder of EU-listed Ravin Academy, an entity that trains individuals in cyber security and hacking, and recruits from among these trainees for the MOIS.; The MOIS is widely involved in infiltrating internal opposition groups, monitoring domestic threats and expatriate dissents and arresting alleged spies and dissidents.; Seyed Mojtaba Mostafavi is therefore responsible for serious human rights violations in Iran.",20-02-2023
ESMAELI Vali,male,"Vali Esmaeli is a lawmaker and hardliner, as well as head of the Iranian parliament’s Social Commission.; He is one of the 227 members of parliament who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’. Esmaeli called protestors ‘foreign agents’ and justified human rights violations committed by the Islamic Republic of Iran. As a member of the Iranian parliament, Esmaeli has supported the killing, detention, and torture of people during the nationwide protests in 2022.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
NADERI Ahmad,male,"Ahmad Naderi is a lawmaker and hardliner, as well as a member of the Iranian parliament’s presidium/board of directors.; He is one of the 227 members of parliament (MP) who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’.; Reading out a statement of 233 MPs in the public session of the parliament on 2 October 2022, he praised and supported the performance of the security and law enforcement forces in suppressing the protesters. As a member of the Iranian parliament, Naderi has supported the killing, detention, and torture of people during the nationwide protests in 2022.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
ELAHIAN Zohreh,female,"Zohreh Elahian is a lawmaker and hardliner, as well as a member of the National Security and Foreign Policy Commission of the Iranian parliament.; She is one of the 227 members of parliament who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’. As a member of the Iranian parliament, Elahian supported the killing, detention, and torture of people during the 2022 nationwide protests in Iran.; She is therefore responsible for serious human rights violations in Iran.",20-02-2023
